,opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,time_taken
0,1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,132 days 00:00:00
1,Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514.0,137 days 00:00:00
2,EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,133 days 00:00:00
3,MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,135 days 00:00:00
4,PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,128 days 00:00:00
5,ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,123 days 00:00:00
6,9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,123 days 00:00:00
7,7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,126 days 00:00:00
8,OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,122 days 00:00:00
9,HAXMC4IX,James Ascencio,MG Advanced,,Engaging,2016-11-03,,,0
10,NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,126 days 00:00:00
11,KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,134 days 00:00:00
12,S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,126 days 00:00:00
13,ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,122 days 00:00:00
14,09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,126 days 00:00:00
15,3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0,118 days 00:00:00
16,M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,121 days 00:00:00
17,6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,119 days 00:00:00
18,902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,122 days 00:00:00
19,5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,121 days 00:00:00
20,JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,130 days 00:00:00
21,WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,131 days 00:00:00
22,C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,124 days 00:00:00
23,ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,138 days 00:00:00
24,SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,133 days 00:00:00
25,UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,,,0
26,JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,122 days 00:00:00
27,AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,121 days 00:00:00
28,5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,114 days 00:00:00
29,KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0,123 days 00:00:00
30,EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0,110 days 00:00:00
31,2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,112 days 00:00:00
32,JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,114 days 00:00:00
33,KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,127 days 00:00:00
34,N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,109 days 00:00:00
35,E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,111 days 00:00:00
36,AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,115 days 00:00:00
37,REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,121 days 00:00:00
38,ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,116 days 00:00:00
39,8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,136 days 00:00:00
40,TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,114 days 00:00:00
41,CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,126 days 00:00:00
42,EG7OFLFR,Kami Bicknell,GTX Basic,,Engaging,2016-11-14,,,0
43,30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,125 days 00:00:00
44,OLVI7L8M,Cassey Cress,GTXPro,,Engaging,2016-11-16,,,0
45,97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,118 days 00:00:00
46,JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,135 days 00:00:00
47,6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,115 days 00:00:00
48,0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,124 days 00:00:00
49,XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,108 days 00:00:00
50,IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,120 days 00:00:00
51,XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,116 days 00:00:00
52,XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,108 days 00:00:00
53,2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,106 days 00:00:00
54,ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0,118 days 00:00:00
55,HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,119 days 00:00:00
56,F5U1ACDD,Kami Bicknell,GTX Plus Basic,,Engaging,2016-11-19,,,0
57,LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0,123 days 00:00:00
58,WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,114 days 00:00:00
59,XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,109 days 00:00:00
60,ZZY4516R,Hayden Neloms,MG Advanced,,Engaging,2016-11-20,,,0
61,3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,103 days 00:00:00
62,7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,108 days 00:00:00
63,MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,104 days 00:00:00
64,0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,,,0
65,37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,109 days 00:00:00
